Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_A	BR	START	94.847	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_A	BR	STOP	103.896	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	START	174.970	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_A	BR	STOP	201.655	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_A	BR	START	205.998	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_A	BR	STOP	208.883	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	START	208.883	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_B	BR	STOP	219.533	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_D	BR	START	226.387	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_D	BR	STOP	229.072	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	START	229.072	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	STOP	231.700	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_D	BR	START	231.700	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	TWRL_D	TWRL	START	233.121	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_D	BR	STOP	236.096	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	BR_C	BR	START	236.096	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	TWRL_D	TWRL	STOP	237.581	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	TWRL_D	TWRL	START	240.193	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DM1-18a	TWRL_D	TWRL	STOP	243.152	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	BR_A	BR	START	263.505	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	TWRL_A	TWRL	START	266.215	NA	NA	NA	
Sept02	2023-09-02 07:49:16		14755.061	Live observation	NA	NA	NA	DMO-10	TWRL_A	TWRL	STOP	271.741	NA	NA	NA	
